;symbol;price;volume;Symbol
384;LNN;150.9;37046.0;LNN
385;LNT;49.68;736269.0;LNT
386;LOGI;111.85;662869.0;LOGI
387;LOW;175.03;2313160.0;LOW
388;LRCX;509.76;1236711.0;LRCX
389;LSTR;148.34;271112.0;LSTR
390;LW;79.5;319912.0;LW
391;LYB;93.26;1115855.0;LYB
392;MA;338.75;2896403.0;MA
393;MAA;134.72;532651.0;MAA
394;MAIN;33.42;288809.0;MAIN
395;MAN;90.88;331470.0;MAN
396;MAS;56.42;1462476.0;MAS
397;MATW;32.99;120457.0;MATW
398;MATX;64.46;105304.0;MATX
399;MBWM;28.92;29517.0;MBWM
400;MCBC;8.57;58415.0;MCBC
401;MCD;212.58;2338719.0;MCD
402;MCHP;145.44;2779027.0;MCHP
403;MCK;183.06;843754.0;MCK
404;MCO;276.97;448341.0;MCO
405;MCY;54.15;113086.0;MCY
406;MDLZ;56.21;4961645.0;MDLZ
407;MDT;118.4;3983906.0;MDT
408;MDU;26.81;859893.0;MDU
409;MED;251.01;70607.0;MED
410;MET;52.58;6757544.0;MET
411;MFC;18.9;1560274.0;MFC
412;MFNC;13.08;29219.0;MFNC
413;MGA;76.47;895624.0;MGA
414;MGEE;65.35;64444.0;MGEE
415;MGP;32.97;337925.0;MGP
416;MGRC;75.47;70782.0;MGRC
417;MKC;90.29;1428848.0;MKC
418;MKTX;571.66;162259.0;MKTX
419;MLM;297.6;334513.0;MLM
420;MMC;113.6;1563296.0;MMC
421;MMM;179.01;1599153.0;MMM
422;MMP;40.59;1437882.0;MMP
423;MNRO;62.42;279395.0;MNRO
424;MO;42.47;5789053.0;MO
425;MOFG;27.45;31610.0;MOFG
426;MORN;237.35;135424.0;MORN
427;MPB;23.4;6285.0;MPB
428;MPC;47.65;3560043.0;MPC
429;MPLX;23.56;1999191.0;MPLX
430;MPW;21.88;2470468.0;MPW
431;MRK;75.8;13128327.0;MRK
432;MS;73.22;8193472.0;MS
433;MSA;165.77;204953.0;MSA
434;MSBI;20.42;88248.0;MSBI
435;MSCI;429.81;418511.0;MSCI
436;MSEX;83.06;79908.0;MSEX
437;MSFT;242.2;18054752.0;MSFT
438;MSI;182.09;1001228.0;MSI
439;MSM;85.64;850877.0;MSM
440;MTRN;69.26;47926.0;MTRN
441;MWA;12.54;551039.0;MWA
442;NATI;42.01;879511.0;NATI
443;NBTB;34.42;95062.0;NBTB
444;NC;25.82;18264.0;NC
445;NDAQ;142.59;680127.0;NDAQ
446;NDSN;188.07;224215.0;NDSN
447;NEE;83.6;5643948.0;NEE
448;NEP;84.46;467836.0;NEP
449;NEU;387.43;38324.0;NEU
450;NFBK;13.22;118871.0;NFBK
451;NFG;42.21;416678.0;NFG
452;NHC;63.72;27003.0;NHC
453;NHI;68.44;225759.0;NHI
454;NI;22.8;2445102.0;NI
455;NJR;36.62;622142.0;NJR
456;NKE;145.11;5758019.0;NKE
457;NNI;72.91;32968.0;NNI
458;NNN;40.5;676778.0;NNN
459;NOC;298.79;1109565.0;NOC
460;NP;53.76;42357.0;NP
461;NPO;74.99;68950.0;NPO
462;NRIM;34.75;26002.0;NRIM
463;NSA;37.56;287650.0;NSA
464;NSC;245.66;942299.0;NSC
465;NSP;83.27;94561.0;NSP
466;NTAP;67.38;1178835.0;NTAP
467;NTRS;97.16;619781.0;NTRS
468;NUE;52.98;1740829.0;NUE
469;NUS;60.18;150841.0;NUS
470;NWBI;13.17;549367.0;NWBI
471;NWE;56.44;175680.0;NWE
472;NWFL;24.65;22826.0;NWFL
473;NWN;46.14;252578.0;NWN
